Domain,Truthfulness,Evidence Quality,Source Credibility,Methodological Rigor,Peer Review Status,Legal Admissibility,Expert Consensus,Historical Accuracy,Predictive Validity,Reproducibility,Transparency Level,Conflict of Interest,Funding Source Bias,Data Integrity,Statistical Significance,Cross-Validation,Temporal Consistency,Geographic Consistency,Cultural Sensitivity,Ethical Considerations,Harm Potential,Benefit Assessment,Risk Mitigation,Long-term Impact,Overall Score
Financial Transparency,-8.1,-7.9,-8.2,-7.8,-8.0,-8.4,-7.7,-8.1,-7.9,-8.0,-5.5,-8.6,-8.3,-8.0,-7.9,-7.8,-8.1,-7.9,-6.6,-8.2,-8.4,-2.4,-2.1,-8.3,-8.1
Technology Transfer Risks,-8.8,-8.6,-8.9,-8.5,-8.7,-9.0,-8.4,-8.8,-8.6,-8.7,-6.0,-9.1,-8.9,-8.7,-8.6,-8.5,-8.8,-8.6,-7.0,-8.9,-9.1,-1.8,-1.5,-8.9,-8.8
Dual-Use Technology,-9.0,-8.8,-9.1,-8.7,-8.9,-9.2,-8.6,-9.0,-8.8,-8.9,-6.1,-9.3,-9.1,-8.9,-8.8,-8.7,-9.0,-8.8,-7.2,-9.1,-9.3,-1.5,-1.2,-9.2,-9.0
Autonomous Weapons Systems,-9.5,-9.3,-9.6,-9.2,-9.4,-9.7,-9.1,-9.5,-9.3,-9.4,-6.3,-9.8,-9.6,-9.4,-9.3,-9.2,-9.5,-9.3,-7.3,-9.6,-9.8,-0.9,-0.6,-9.6,-9.5
Surveillance Capabilities,-9.2,-9.0,-9.3,-8.9,-9.1,-9.4,-8.8,-9.2,-9.0,-9.1,-5.9,-9.5,-9.3,-9.1,-9.0,-8.9,-9.2,-9.0,-6.8,-9.3,-9.5,-1.2,-0.9,-9.4,-9.2
Data Harvesting,-9.0,-8.8,-9.1,-8.7,-8.9,-9.2,-8.6,-9.0,-8.8,-8.9,-5.7,-9.3,-9.1,-8.9,-8.8,-8.7,-9.0,-8.8,-6.9,-9.1,-9.3,-1.4,-1.1,-9.2,-9.0
Algorithmic Bias,-8.5,-8.3,-8.6,-8.2,-8.4,-8.8,-8.1,-8.5,-8.3,-8.4,-6.0,-8.9,-8.7,-8.4,-8.3,-8.2,-8.5,-8.3,-7.1,-8.6,-8.8,-2.3,-2.0,-8.7,-8.5
Cybersecurity Vulnerabilities,-8.7,-8.5,-8.8,-8.4,-8.6,-8.9,-8.3,-8.7,-8.5,-8.6,-6.2,-9.0,-8.8,-8.6,-8.5,-8.4,-8.7,-8.5,-7.2,-8.8,-9.0,-1.9,-1.6,-8.9,-8.7
Supply Chain Security,-8.4,-8.2,-8.5,-8.1,-8.3,-8.7,-8.0,-8.4,-8.2,-8.3,-6.1,-8.8,-8.6,-8.3,-8.2,-8.1,-8.4,-8.2,-7.0,-8.5,-8.7,-2.2,-1.9,-8.6,-8.4
Environmental Impact,-7.9,-7.7,-8.0,-7.6,-7.8,-8.2,-7.5,-7.9,-7.7,-7.8,-5.8,-8.3,-8.0,-7.8,-7.7,-7.6,-7.9,-7.7,-6.8,-8.0,-8.2,-2.5,-2.2,-8.1,-7.9
Geopolitical Stability,-8.8,-8.6,-8.9,-8.5,-8.7,-9.0,-8.4,-8.8,-8.6,-8.7,-6.1,-9.1,-8.9,-8.7,-8.6,-8.5,-8.8,-8.6,-7.1,-8.9,-9.1,-1.7,-1.4,-8.9,-8.8
Democratic Processes,-8.6,-8.4,-8.7,-8.3,-8.5,-8.9,-8.2,-8.6,-8.4,-8.5,-6.0,-8.9,-8.7,-8.5,-8.4,-8.3,-8.6,-8.4,-7.0,-8.7,-8.9,-2.0,-1.7,-8.7,-8.6
Civil Liberties,-9.1,-8.9,-9.2,-8.8,-9.0,-9.3,-8.8,-9.1,-8.9,-9.0,-5.9,-9.4,-9.2,-9.0,-8.9,-8.8,-9.1,-8.9,-6.7,-9.2,-9.4,-1.3,-1.0,-9.3,-9.1
Economic Concentration,-8.5,-8.3,-8.6,-8.2,-8.4,-8.8,-8.1,-8.5,-8.3,-8.4,-6.0,-8.9,-8.7,-8.4,-8.3,-8.2,-8.5,-8.3,-7.1,-8.6,-8.8,-2.1,-1.8,-8.6,-8.5
Future Threat Projection,-9.4,-9.2,-9.5,-9.1,-9.3,-9.6,-9.0,-9.4,-9.2,-9.3,-6.4,-9.7,-9.5,-9.3,-9.2,-9.1,-9.4,-9.2,-7.4,-9.5,-9.7,-0.7,-0.4,-9.5,-9.4
